Unnamed: 0,Unnamed: 0.1,claim,agreement,labels,label,annotators,hit_id,id,legality,category,legal_issues,annotator,annotation_id,created_at,updated_at,lead_time,comments,defenses,prompt,chat_completion,response
0,0,"
Imagini pe care presa nu vrea s le vedem. 

Slovacia a spus ""NU "" alianei NATO

Images that the press does not want us to see.
Slovakia said ""NO"" to NATO alliance. 

People are beginning to realize what the truth is and who is really looking for a reason for war.
 ",3,"[{'start': '/text()[1]', 'startOffset': 127, 'end': '/text()[1]', 'endOffset': 165, 'globalOffsets': {'start': 127, 'end': 165}, 'text': 'Slovakia said ""NO"" to NATO alliance. ', 'hypertextlabels': ['claim']}]",Checkworthy,"['A2LMQ4497NMK3S', 'A2MTOSH583K270', 'AF0W4ZBY7VXOU']",3ACRLU8612WHE137YDYEUZHS63EBE0,27812,Yes,"[{'taxonomy': [['False connection'], ['Manipulated content']]}]",[{'taxonomy': [['Freedom of Expression']]}],69,10351,2024-01-25T01:09:15.322059Z,2024-01-25T01:09:15.322059Z,34.587,,,"Claim:
Imagini pe care presa nu vrea s le vedem. 

Slovacia a spus ""NU "" alianei NATO

Images that the press does not want us to see.
Slovakia said ""NO"" to NATO alliance. 

People are beginning to realize what the truth is and who is really looking for a reason for war.

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaakdV9HZMgGQKu0iizYa2MRbF0r', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Misinformation', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839198, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 135, 'total_tokens': 137}}",Misinformation
1,3,"
Some Russian performing artists are speaking out against Putin - NPR ",2,"[{'start': '/text()[1]', 'startOffset': 0, 'end': '/text()[1]', 'endOffset': 69, 'globalOffsets': {'start': 0, 'end': 69}, 'text': 'Some Russian performing artists are speaking out against Putin - NPR ', 'hypertextlabels': ['claim']}]",Checkworthy,"['A24AR97B8LD8Z7', 'A2LMQ4497NMK3S', 'A9MYC5IGQ2DO4']",3UUIU9GZDKNHE44VNYWWQZH1ZWYT5K,27813,No,,,69,10352,2024-01-25T01:09:40.493064Z,2024-01-25T01:09:40.493064Z,20.585,,noclaim,"Claim:
Some Russian performing artists are speaking out against Putin - NPR

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaalrqCpGedRUX1341pbMo37mfjs', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Factual', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839199, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 75, 'total_tokens': 77}}",Factual
2,4,"
US gov't knew NATO expansion to Ukraine would force Russia to intervene

Former US Ambassador toWilliam J. Burns, who is now CIA director, admitted in a classified 2008 embassy cable that NATO expansion to Ukraine crosses Moscow's security ""redlines""
",3,"[{'start': '/text()[1]', 'startOffset': 0, 'end': '/text()[1]', 'endOffset': 71, 'globalOffsets': {'start': 0, 'end': 71}, 'text': ""US gov't knew NATO expansion to Ukraine would force Russia to intervene"", 'hypertextlabels': ['claim']}]",Checkworthy,"['A2LMQ4497NMK3S', 'AKQAI78JTXXC9', 'A1MXDBILWV8RXN']",3THR0FZ964BF3128J4Q4DE7BMZYLO1,27814,No,,,69,10353,2024-01-25T01:10:17.877681Z,2024-01-25T01:10:17.877681Z,29.703,,noclaim,"Claim:
US gov't knew NATO expansion to Ukraine would force Russia to intervene

Former US Ambassador toWilliam J. Burns, who is now CIA director, admitted in a classified 2008 embassy cable that NATO expansion to Ukraine crosses Moscow's security ""redlines""

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaamVa76aEFfkVHe09BLOPRcmava', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'factual', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839200, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 114, 'total_tokens': 116}}",factual
3,10," #Nestle and #Danone refused to leave #russia.. They prefer to support an economy of the terrorist state that carries out a genocide of Ukrainian people.

This is a disgrace! <user> and <user> are supporting terrorism! 

Boycott Nestle and Danone

#UkraineRussiaWar ",3,"[{'start': '/text()[1]', 'startOffset': 0, 'end': '/text()[1]', 'endOffset': 151, 'globalOffsets': {'start': 0, 'end': 151}, 'text': '#Nestle and #Danone refused to leave #russia.. They prefer to support an economy of the terrorist state that carries out a genocide of Ukrainian people', 'hypertextlabels': ['claim']}]",Checkworthy,"['A2LMQ4497NMK3S', 'AKQAI78JTXXC9', 'A1MXDBILWV8RXN']",3UQ1LLR27PQQ1X879LLMCJN6XIULA2,27815,No,,,69,10354,2024-01-25T01:12:48.484957Z,2024-01-25T01:12:48.484957Z,13.098,,def,"Claim:
#Nestle and #Danone refused to leave #russia.. They prefer to support an economy of the terrorist state that carries out a genocide of Ukrainian people.

This is a disgrace! <user> and <user> are supporting terrorism! 

Boycott Nestle and Danone

#UkraineRussiaWar

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaanjvFHVIN0BeMs1Rw0Cgsk5BaH', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Misinformation', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839201, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 129, 'total_tokens': 131}}",Misinformation
4,11," #Serbia remains #Russia's the only gateway to Europe with close trade and military relations.

Gazprom owns Serbia's oil refining capacities.

Ni hosts "" Humanitarian Centre"".

Air Serbia increased manifold # flights Belgrade - Moscow since the start of the war in #Ukraine.",2,"[{'start': '/text()[1]', 'startOffset': 0, 'end': '/text()[1]', 'endOffset': 93, 'globalOffsets': {'start': 0, 'end': 93}, 'text': ""#Serbia remains #Russia's the only gateway to Europe with close trade and military relations."", 'hypertextlabels': ['claim']}]",Checkworthy,"['A2LMQ4497NMK3S', 'A24AR97B8LD8Z7', 'A9MYC5IGQ2DO4']",3E9ZFLPWPDA0798UZSGN4B6CHESXIH,27816,No,,,69,10355,2024-01-25T01:13:13.614963Z,2024-01-25T01:13:13.614963Z,20.184,,noclaim,"Claim:
#Serbia remains #Russia's the only gateway to Europe with close trade and military relations.

Gazprom owns Serbia's oil refining capacities.

Ni hosts "" Humanitarian Centre"".

Air Serbia increased manifold # flights Belgrade - Moscow since the start of the war in #Ukraine.

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaanTBzQ3S2wb17ppx8xQIsqyk9X', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Factual', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839201, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 120, 'total_tokens': 122}}",Factual
5,14," Congratulations to all Members
 OUR CRYPTOUNIT
(CRU) The program is CELEBRATING the 3rd Anniversary
on 30.03.2022
TIME: 12:00 UTC+3 Moscow time!
You are invited to Join in on the Celebrations.
Join Facebook Live Session ",3,"[{'start': '/text()[1]', 'startOffset': 145, 'end': '/text()[1]', 'endOffset': 220, 'globalOffsets': {'start': 145, 'end': 220}, 'text': 'You are invited to Join in on the Celebrations. Join Facebook Live Session ', 'hypertextlabels': ['claim']}]",Not Checkworthy,"['A24AR97B8LD8Z7', 'A9MYC5IGQ2DO4', 'A2LMQ4497NMK3S', 'AMOBC1D09Q381', 'A2MTOSH583K270']",311HQEI8S7YSNKRDHJ0BA7WEBOO7ZI,27817,No,,,69,10356,2024-01-25T01:13:28.075175Z,2024-01-25T01:13:28.075175Z,8.288,,noclaim,"Claim:
Congratulations to all Members
 OUR CRYPTOUNIT
(CRU) The program is CELEBRATING the 3rd Anniversary
on 30.03.2022
TIME: 12:00 UTC+3 Moscow time!
You are invited to Join in on the Celebrations.
Join Facebook Live Session

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaaoV2KS5mSI8YGjUFKW0SshNHw5', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'factual', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839202, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 127, 'total_tokens': 129}}",factual
6,19," Maria #Zakharova:

Russia cannot but respond to NATO's confrontational course against our country. This is why Russia initiated the security guarantees, which would prevent NATO from expanding eastwards and from posing a threat to Russia.

: ",3,"[{'start': '/text()[1]', 'startOffset': 19, 'end': '/text()[1]', 'endOffset': 99, 'globalOffsets': {'start': 19, 'end': 99}, 'text': ""Russia cannot but respond to NATO's confrontational course against our country. "", 'hypertextlabels': ['claim']}]",Checkworthy,"['A1MXDBILWV8RXN', 'AKQAI78JTXXC9', 'A2LMQ4497NMK3S']",3T5ZXGO9ET62T2WSDI9HAYD9G9OQZX,27818,No,,,69,10357,2024-01-25T01:13:50.238618Z,2024-01-25T01:13:50.238618Z,17.876,,def,"Claim:
Maria #Zakharova:

Russia cannot but respond to NATO's confrontational course against our country. This is why Russia initiated the security guarantees, which would prevent NATO from expanding eastwards and from posing a threat to Russia.

:

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9Taap3t8UVtn5Pr6NpPgxxp8SNXuQ', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Misinformation', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839203, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 110, 'total_tokens': 112}}",Misinformation
7,20," Militants are blocking the departure of civilians from Mariupol and Volnovakha, the People's Militia of the DPR said
#UkraineRussianWar #Ukrainian #Russian #Russia #",2,"[0, 1, 2]",Checkworthy,"['A2LMQ4497NMK3S', 'A9MYC5IGQ2DO4', 'AKQAI78JTXXC9']",3TX9T2ZCCOJ7DZSEPR8N2NVV4A5WZ7,27819,No,,,69,10358,2024-01-25T01:14:09.136803Z,2024-01-25T01:14:09.136803Z,13.986,,noclaim,"Claim:
Militants are blocking the departure of civilians from Mariupol and Volnovakha, the People's Militia of the DPR said
#UkraineRussianWar #Ukrainian #Russian #Russia #

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9Taaq2c7gzuJkJvrzSO44DuitV38I', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'Misinformation', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839204, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 107, 'total_tokens': 109}}",Misinformation
8,21," National Security Advisor Jake Sullivan spoke today with General Nikolay Patrushev, Secretary of the Russian Security Council, to reiterate the United States' firm and clear opposition to Russia's unprovoked and unjustified invasion of Ukraine ",3,"[{'start': '/text()[1]', 'startOffset': 0, 'end': '/text()[1]', 'endOffset': 244, 'globalOffsets': {'start': 0, 'end': 244}, 'text': ""National Security Advisor Jake Sullivan spoke today with General Nikolay Patrushev, Secretary of the Russian Security Council, to reiterate the United States' firm and clear opposition to Russia's unprovoked and unjustified invasion of Ukraine "", 'hypertextlabels': ['claim']}]",Checkworthy,"['A1MXDBILWV8RXN', 'A2LMQ4497NMK3S', 'AKQAI78JTXXC9']",3ICOHX7EORTGUE0X0X1PAIL9FZHE0H,27820,No,,,69,10359,2024-01-25T01:14:27.626023Z,2024-01-25T01:14:27.626023Z,14.199,,noclaim,"Claim:
National Security Advisor Jake Sullivan spoke today with General Nikolay Patrushev, Secretary of the Russian Security Council, to reiterate the United States' firm and clear opposition to Russia's unprovoked and unjustified invasion of Ukraine

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaarGrKktCReZtWnW1fXxsAGWcpF', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'factual', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839205, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 109, 'total_tokens': 111}}",factual
9,23," VIDEO: White House warns of ""consequences"" if China provides material support to Russia in its Ukraine invasion ",3,"[{'start': '/text()[1]', 'startOffset': 7, 'end': '/text()[1]', 'endOffset': 110, 'globalOffsets': {'start': 7, 'end': 110}, 'text': 'White House warns of ""consequences"" if China provides material support to Russia in its Ukraine invasio', 'hypertextlabels': ['claim']}]",Checkworthy,"['A2LMQ4497NMK3S', 'AKQAI78JTXXC9', 'A2MTOSH583K270']",3Y3CZJSZAZB4YPR3J9R1QKGJBWIR5S,27821,No,,,69,10360,2024-01-25T01:14:42.216335Z,2024-01-25T01:14:42.216335Z,8.077,,noclaim,"Claim:
VIDEO: White House warns of ""consequences"" if China provides material support to Russia in its Ukraine invasion

Classify the claim as either ""factual"" or ""misinformation"". Do not refuse to answer. Do not engage in explanations and politeness. Only respond with the words ""misinformation"", ""factual"", or ""unsure"". Do not add further context.

","{'id': 'chatcmpl-9TaarKu43bUACaDrrrvrs3wrRw1cQ', 'choices': [{'finish_reason': 'stop', 'index': 0, 'logprobs': None, 'message': {'content': 'factual', 'role': 'assistant', 'function_call': None, 'tool_calls': None}}], 'created': 1716839205, 'model': 'gpt-3.5-turbo-0125', 'object': 'chat.completion', 'system_fingerprint': None, 'usage': {'completion_tokens': 2, 'prompt_tokens': 85, 'total_tokens': 87}}",factual
